Nom,Illustration,Description
Baba au rhum (Lorraine),,Savarin servi imbibé d'un sirop au rhum.
Baklava (Turquie),,"Gâteau à base de pâte phyllo (pâte feuilletée), de sirop de sucre et de noix"
Barquette aux marrons,,Pâtisserie en forme de barquette recouverte d'une portion de crème de marrons elle-même recouverte et maintenue par un glaçage ou une coquille de chocolat durci.
Basler Läckerli (Suisse),,Petits gâteaux proches du pain d'épices
Bavarois (Bavière),,Entremets à base de mousse de fruits
Beerawecka (Alsace),,Pain de fruits secs
Beignet aux pommes,,"Les pommes sont coupées en morceaux, enrobés de pâte à beignets et frites dans l'huile. Le beignet est servi chaud avec du sucre en poudre. Il peut être flambé, par exemple au calvados."
Bichon au citron,,"Sorte de chausson, fait en général de pâte feuilletée caramélisée, et fourré de crème de citron."
Biscôme (Suisse),,Sorte de pain d'épices
Blechkuchen (Allemagne),,Gâteau cuit sur une plaque de four
Biscuit de Savoie,,"Gâteau léger et moelleux à base d'oeufs, de sucre, de farine, de fécule, et ce qui fait la légèreté : les blancs d'oeufs montés en neige."
Bodink (Belgique),,"Pâtisserie bruxelloise à base de pain, d'œufs, de sucre candi et de raisins de Corinthe."
Bretzel,,"Pâtisserie salée traditionnelle à base de pâte de brioche, pochée dans une solution alcaline, en forme de nœud ou de bras entrelacés, et recouvert d'éclats de gros sel."
Brioche,,"Pâtisserie, à pâte levée et assez aérée, contenant du beurre et des œufs."
Bûche de Noël,,
"Bugnes (Sud-Est, en particulier Lyon)",,"Pâte étalée, puis découpée à la roulette de formes différentes, puis frite."
